店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
ニクバル クオン,050-5484-5849,,東京都,新宿区下宮比町,1-1,,,FALSE
Aju trattorìa 飯田橋,050-5492-9199,,東京都,新宿区揚場町,1-11,,,FALSE
シュラスコ＆ビアレストラン ALEGRIA Kagurazaka,050-5486-8080,,東京都,新宿区神楽坂,4-3,,,FALSE
Aju trattorìa 飯田橋,050-5492-9199,,東京都,新宿区揚場町,1-11,,,FALSE
和びすとろ SAKU 神楽坂店,050-5487-1865,,東京都,新宿区神楽坂,4-3,,,FALSE
神楽坂ココチーノ,050-5489-2875,,東京都,新宿区神楽坂,3-1-15,,,FALSE
ニクバル クオン,050-5484-5849,,東京都,新宿区下宮比町,1-1,,,FALSE
神楽坂ワヰン酒場,050-5486-7625,,東京都,新宿区神楽坂,4-2-1,,,FALSE
ダーツ＆パーティー Darts UP 飯田橋店,050-5485-7834,,東京都,千代田区富士見,2-7-2,,,FALSE
"TREES トゥリース
イタリアン ＆ バーラウンジ 神楽坂",050-5485-1590,,東京都,新宿区神楽坂,3-1,,,FALSE
地中海バル MANVAR,050-5485-7882,,東京都,新宿区神楽坂,3-2-39,,,FALSE
MAISON DE LA BOURGOGNE,050-5489-5891,,東京都,新宿区神楽坂,3-6-5,,,FALSE
VINO NAKADA ヴィノナカダ,050-5492-6631,,東京都,新宿区神楽坂,5-43,,,FALSE
地中海バル Circo,050-5486-3860,,東京都,新宿区神楽坂,4-5-4,,,FALSE
Darts Bar A’s,050-5487-5983,,東京都,新宿区神楽坂,1-10,,,FALSE
オステリア ポルコヴィーノ,050-5486-3509,,東京都,新宿区神楽坂,4-2,,,FALSE
宮崎の恵みをワインと味わえるイタリアン Strada,03-6261-9229,,東京都,千代田区飯田橋,1-9-6,,,FALSE
Buona carne！（旧：zetto）,050-5486-4314,,東京都,新宿区神楽坂,3-2-1,,,FALSE
アズーリ 神楽坂,050-5487-4438,,東京都,新宿区神楽坂,3-4,,,FALSE
肉＆生ハム 隠れ家バル ボノボ,050-5486-8290,,東京都,千代田区富士見,2-2-11,,,FALSE
ディプント 飯田橋,050-5485-5647,,東京都,千代田区富士見,2-6-12,,,FALSE
AGARIS,050-5486-0289,,東京都,新宿区神楽坂,4-3,,,FALSE
"少人数貸切×湘南パスタバル
ランタナ食堂 飯田橋",050-5485-4823,,東京都,新宿区神楽河岸,1-1,,,FALSE
オステリア ラストリカート,050-5486-7185,,東京都,新宿区神楽坂,4-6,,,FALSE
ル・クロ・モンマルトル,050-5488-1892,,東京都,新宿区神楽坂,2-12,,,FALSE
魚卵ハウス Eni ‐エニ‐ 飯田橋,050-5492-9221,,東京都,千代田区飯田橋,2-9-5,,,FALSE
夏目亭,050-5488-1462,,東京都,新宿区神楽坂,3-2,,,FALSE
魚イタリアン 神楽坂 y cucina,050-5487-1754,,東京都,新宿区神楽坂,5-37-10,,,FALSE
トリノ,050-5486-3861,,東京都,新宿区揚場町,1-3,,,FALSE
"ロイヤルガーデンカフェ
（Royal Garden Café） 飯田橋",050-5484-6290,,東京都,千代田区富士見,2-10-2,,,FALSE
ＣＡＮＡＬ ＣＡＦＥ,050-5486-4515,,東京都,新宿区神楽坂,1-9,,,FALSE
Nico Chelsea（ニコチェルシー）,050-5493-1293,,東京都,新宿区津久戸町,3-6,,,FALSE
ニクバル クオン,050-5484-5849,,東京都,新宿区下宮比町,1-1,,,FALSE
ピッツェリア ピアット,050-5492-3245,,東京都,千代田区飯田橋,3-10-9,,,FALSE
JFAサッカー文化創造拠点 blue－ing！,050-5487-8319,,東京都,文京区後楽,1-3-61,,,FALSE
シュラスコ＆ビアレストラン ALEGRIA Kagurazaka,050-5486-8080,,東京都,新宿区神楽坂,4-3,,,FALSE
欲張りバル CANTINA 水道橋西口店,03-6261-1910,,東京都,千代田区神田三崎町,3-6-1,,,FALSE
Aju trattorìa 飯田橋,050-5492-9199,,東京都,新宿区揚場町,1-11,,,FALSE
Aju trattorìa 飯田橋,050-5492-9199,,東京都,新宿区揚場町,1-11,,,FALSE
Darts Bar A‘s 水道橋店,050-5485-4709,,東京都,千代田区神田三崎町,2-22-18,,,FALSE
和びすとろ SAKU 神楽坂店,050-5487-1865,,東京都,新宿区神楽坂,4-3,,,FALSE
ワイン Pirka 神楽坂,050-5484-4671,,東京都,新宿区岩戸町,1,,,FALSE
神楽坂ココチーノ,050-5489-2875,,東京都,新宿区神楽坂,3-1-15,,,FALSE
ニクバル クオン,050-5484-5849,,東京都,新宿区下宮比町,1-1,,,FALSE
神楽坂ワヰン酒場,050-5486-7625,,東京都,新宿区神楽坂,4-2-1,,,FALSE
ダーツワン 水道橋駅前店,050-2018-8927,,東京都,千代田区神田三崎町,2-20-8,,,FALSE
ダーツ＆パーティー Darts UP 飯田橋店,050-5485-7834,,東京都,千代田区富士見,2-7-2,,,FALSE
"TREES トゥリース
イタリアン ＆ バーラウンジ 神楽坂",050-5485-1590,,東京都,新宿区神楽坂,3-1,,,FALSE
地中海バル MANVAR,050-5485-7882,,東京都,新宿区神楽坂,3-2-39,,,FALSE
MAISON DE LA BOURGOGNE,050-5489-5891,,東京都,新宿区神楽坂,3-6-5,,,FALSE
